season,week,regime,tie_policy,n_active,n_eliminated,n_withdrawn,finale_week,exact_endpoint_feasible,exact_normalized_rank_width,direct_R_like_exact_normalized_rank_width,weak_minus_direct_exact_width,solver_calls,solver,normalized_rank_width,enumeration_method,feasible_fraction,mc_standard_error,identifiability_loss_ratio,exact_minus_legacy_normalized_width
32,3,R_plus,average_rank,12,1,0,False,True,1,0.992424242424,0.00757575757576,48,scipy.optimize.milp-highs,0.992424242424,monte_carlo,0.5475,0.00497738636234,1.45611702128,0.007575757576
32,4,R_plus,average_rank,11,1,0,False,True,0.963636363636,0.845454545455,0.118181818182,44,scipy.optimize.milp-highs,0.954545454545,monte_carlo,0.1945,0.00395815297835,3.430335097,0.00909090909136
32,5,R_plus,average_rank,10,1,0,False,True,0.966666666667,0.922222222222,0.0444444444444,40,scipy.optimize.milp-highs,0.966666666667,monte_carlo,0.393,0.00488416830177,1.78474114441,-3.33399974295e-13
32,6,R_plus,average_rank,9,1,0,False,True,0.972222222222,0.875,0.0972222222222,36,scipy.optimize.milp-highs,0.972222222222,exact,0.323740630511,0,2.41472939919,2.22155627227e-13
32,7,R_plus,average_rank,8,1,0,False,True,0.910714285714,0.607142857143,0.303571428571,32,scipy.optimize.milp-highs,0.910714285714,exact,0.077380952381,0,8.76404494382,2.85660384236e-13
32,8,R_plus,average_rank,7,1,0,False,True,0.97619047619,0.880952380952,0.0952380952381,28,scipy.optimize.milp-highs,0.97619047619,exact,0.462896825397,0,1.97879558948,4.76174655262e-13
32,9,R_plus,average_rank,6,1,0,False,True,1,1,0,24,scipy.optimize.milp-highs,1,exact,0.809722222222,0,1.43243243243,0
32,10,R_plus,average_rank,5,0,0,False,True,1,1,0,20,scipy.optimize.milp-highs,1,exact,1,0,1,0
32,11,R_plus,average_rank,5,0,0,True,True,0.4,0.4,0,20,scipy.optimize.milp-highs,0.4,exact,0.0583333333333,0,1,0
33,1,R_plus,average_rank,13,0,0,False,True,1,1,0,52,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
33,2,R_plus,average_rank,13,2,0,False,True,0.967948717949,0.910256410256,0.0576923076923,52,scipy.optimize.milp-highs,0.942307692308,monte_carlo,0.1428,0.003498687754,2.91428571429,0.0256410256407
33,3,R_plus,average_rank,11,2,0,False,True,1,0.990909090909,0.00909090909091,44,scipy.optimize.milp-highs,0.990909090909,monte_carlo,0.4061,0.00491103644865,1.81700223714,0.009090909091
33,4,R_plus,average_rank,9,1,0,False,True,0.944444444444,0.833333333333,0.111111111111,36,scipy.optimize.milp-highs,0.944444444444,exact,0.287698412698,0,2.3538961039,4.44422276757e-13
33,5,R_plus,average_rank,8,1,0,False,True,0.982142857143,0.928571428571,0.0535714285714,32,scipy.optimize.milp-highs,0.982142857143,exact,0.515079365079,0,1.71240105541,-1.42885703269e-13
33,6,R_plus,average_rank,7,1,0,False,True,0.928571428571,0.690476190476,0.238095238095,28,scipy.optimize.milp-highs,0.928571428571,exact,0.219841269841,0,4.13432835821,4.28546087505e-13
33,7,R_plus,average_rank,6,1,0,False,True,1,1,0,24,scipy.optimize.milp-highs,1,exact,0.809722222222,0,1.43243243243,0
33,8,R_plus,average_rank,5,0,0,False,True,1,1,0,20,scipy.optimize.milp-highs,1,exact,1,0,1,0
33,9,R_plus,average_rank,5,0,0,True,True,0.35,0.35,0,20,scipy.optimize.milp-highs,0.35,exact,0.0333333333333,0,1,0
34,1,R_plus,average_rank,14,0,0,False,True,1,1,0,56,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
34,2,R_plus,average_rank,14,2,0,False,True,0.989010989011,0.961538461538,0.0274725274725,56,scipy.optimize.milp-highs,0.967032967033,monte_carlo,0.2479,0.0043179345757,2.19380530973,0.021978021978
34,3,R_plus,average_rank,12,1,0,False,True,0.992424242424,0.977272727273,0.0151515151515,48,scipy.optimize.milp-highs,0.984848484848,monte_carlo,0.5081,0.00499934385695,1.57111935683,0.00757575757624
34,4,R_plus,average_rank,11,1,0,False,True,0.954545454545,0.790909090909,0.163636363636,44,scipy.optimize.milp-highs,0.945454545455,monte_carlo,0.1258,0.00331623823028,4.59124087591,0.00909090909045
34,5,R_plus,average_rank,10,0,0,False,True,1,1,0,40,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
34,6,R_plus,average_rank,10,1,0,False,True,0.988888888889,0.966666666667,0.0222222222222,40,scipy.optimize.milp-highs,0.977777777778,monte_carlo,0.505,0.00499974999375,1.64227642276,0.0111111111109
34,7,R_plus,average_rank,9,1,0,False,True,0.972222222222,0.916666666667,0.0555555555556,36,scipy.optimize.milp-highs,0.972222222222,exact,0.418220899471,0,1.85430819608,2.22155627227e-13
34,8,R_plus,average_rank,8,1,0,False,True,0.982142857143,0.946428571429,0.0357142857143,32,scipy.optimize.milp-highs,0.982142857143,exact,0.547817460317,0,1.59273146813,-1.42885703269e-13
34,9,R_plus,average_rank,7,1,0,False,True,1,0.97619047619,0.0238095238095,28,scipy.optimize.milp-highs,1,exact,0.759523809524,0,1.45330296128,0
34,10,R_plus,average_rank,6,1,0,False,True,0.9,0.566666666667,0.333333333333,24,scipy.optimize.milp-highs,0.9,exact,0.188888888889,0,5.23076923077,0
34,11,R_plus,average_rank,5,0,0,True,True,0.5,0.5,0,20,scipy.optimize.milp-highs,0.5,exact,0.0333333333333,0,1,0
