season,week,regime,tie_policy,contestant_id,contestant_name,n_active,exact_fan_rank_min,exact_fan_rank_max,exact_fan_rank_width,exact_normalized_fan_rank_width
2,4,R,average_rank,c_4cf510a71847,Jerry Rice,7,1,7,6,1
2,4,R,average_rank,c_53e4c2aa2341,Lisa Rinna,7,1,7,6,1
2,4,R,average_rank,c_7054ec253426,Master P,7,2,7,5,0.833333333333
2,4,R,average_rank,c_7758f7fcffaf,Stacy Keibler,7,1,7,6,1
2,4,R,average_rank,c_ce811e8a803f,Tia Carrere,7,1,7,6,1
2,4,R,average_rank,c_ee75a32adcd8,George Hamilton,7,1,7,6,1
2,5,R,average_rank,c_3f08c95bde83,Drew Lachey,6,1,6,5,1
2,5,R,average_rank,c_4cf510a71847,Jerry Rice,6,1,6,5,1
2,5,R,average_rank,c_53e4c2aa2341,Lisa Rinna,6,1,6,5,1
2,5,R,average_rank,c_7758f7fcffaf,Stacy Keibler,6,1,6,5,1
2,5,R,average_rank,c_ce811e8a803f,Tia Carrere,6,1,6,5,1
2,5,R,average_rank,c_ee75a32adcd8,George Hamilton,6,1,6,5,1
2,6,R,average_rank,c_3f08c95bde83,Drew Lachey,5,1,5,4,1
2,6,R,average_rank,c_4cf510a71847,Jerry Rice,5,1,4,3,0.75
2,6,R,average_rank,c_53e4c2aa2341,Lisa Rinna,5,1,5,4,1
2,6,R,average_rank,c_7758f7fcffaf,Stacy Keibler,5,1,5,4,1
2,6,R,average_rank,c_ee75a32adcd8,George Hamilton,5,2,5,3,0.75
2,7,R,average_rank,c_3f08c95bde83,Drew Lachey,4,1,4,3,1
2,7,R,average_rank,c_4cf510a71847,Jerry Rice,4,1,3,2,0.666666666667
2,7,R,average_rank,c_53e4c2aa2341,Lisa Rinna,4,3,4,1,0.333333333333
2,7,R,average_rank,c_7758f7fcffaf,Stacy Keibler,4,1,4,3,1
2,8,R,average_rank,c_3f08c95bde83,Drew Lachey,3,1,3,2,1
2,8,R,average_rank,c_4cf510a71847,Jerry Rice,3,1,2,1,0.5
2,8,R,average_rank,c_7758f7fcffaf,Stacy Keibler,3,2,3,1,0.5
28,1,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,12,1,12,11,1
28,1,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,12,1,12,11,1
28,1,R_plus,average_rank,c_6e362448efdd,Karamo Brown,12,1,12,11,1
28,1,R_plus,average_rank,c_7d1f20af7e47,Sailor Brinkley-Cook,12,1,12,11,1
28,1,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,12,1,12,11,1
28,1,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,12,1,12,11,1
28,1,R_plus,average_rank,c_cd8555c4c4a3,Mary Wilson,12,1,12,11,1
28,1,R_plus,average_rank,c_d408ea6aae97,Ray Lewis,12,1,12,11,1
28,1,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,12,1,12,11,1
28,1,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,12,1,12,11,1
28,1,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,12,1,12,11,1
28,1,R_plus,average_rank,c_f447678289a9,Lamar Odom,12,1,12,11,1
28,2,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,12,1,12,11,1
28,2,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,12,1,12,11,1
28,2,R_plus,average_rank,c_6e362448efdd,Karamo Brown,12,1,12,11,1
28,2,R_plus,average_rank,c_7d1f20af7e47,Sailor Brinkley-Cook,12,1,12,11,1
28,2,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,12,1,12,11,1
28,2,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,12,1,12,11,1
28,2,R_plus,average_rank,c_cd8555c4c4a3,Mary Wilson,12,2,12,10,0.909090909091
28,2,R_plus,average_rank,c_d408ea6aae97,Ray Lewis,12,1,12,11,1
28,2,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,12,1,12,11,1
28,2,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,12,1,12,11,1
28,2,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,12,1,12,11,1
28,2,R_plus,average_rank,c_f447678289a9,Lamar Odom,12,1,12,11,1
28,3,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,10,1,10,9,1
28,3,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,10,1,10,9,1
28,3,R_plus,average_rank,c_6e362448efdd,Karamo Brown,10,1,10,9,1
28,3,R_plus,average_rank,c_7d1f20af7e47,Sailor Brinkley-Cook,10,1,10,9,1
28,3,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,10,1,10,9,1
28,3,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,10,1,10,9,1
28,3,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,10,1,10,9,1
28,3,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,10,1,10,9,1
28,3,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,10,1,10,9,1
28,3,R_plus,average_rank,c_f447678289a9,Lamar Odom,10,1,10,9,1
28,4,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,10,1,10,9,1
28,4,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,10,1,10,9,1
28,4,R_plus,average_rank,c_6e362448efdd,Karamo Brown,10,1,10,9,1
28,4,R_plus,average_rank,c_7d1f20af7e47,Sailor Brinkley-Cook,10,1,10,9,1
28,4,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,10,1,10,9,1
28,4,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,10,1,10,9,1
28,4,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,10,1,10,9,1
28,4,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,10,1,10,9,1
28,4,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,10,1,10,9,1
28,4,R_plus,average_rank,c_f447678289a9,Lamar Odom,10,2,10,8,0.888888888889
28,5,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,9,1,9,8,1
28,5,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,9,1,9,8,1
28,5,R_plus,average_rank,c_6e362448efdd,Karamo Brown,9,1,9,8,1
28,5,R_plus,average_rank,c_7d1f20af7e47,Sailor Brinkley-Cook,9,1,9,8,1
28,5,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,9,1,9,8,1
28,5,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,9,1,9,8,1
28,5,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,9,1,9,8,1
28,5,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,9,1,9,8,1
28,5,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,9,1,9,8,1
28,6,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,9,1,8,7,0.875
28,6,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,9,1,8,7,0.875
28,6,R_plus,average_rank,c_6e362448efdd,Karamo Brown,9,1,9,8,1
28,6,R_plus,average_rank,c_7d1f20af7e47,Sailor Brinkley-Cook,9,8,9,1,0.125
28,6,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,9,1,9,8,1
28,6,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,9,1,9,8,1
28,6,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,9,1,9,8,1
28,6,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,9,1,8,7,0.875
28,6,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,9,1,8,7,0.875
28,7,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,8,1,8,7,1
28,7,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,8,1,8,7,1
28,7,R_plus,average_rank,c_6e362448efdd,Karamo Brown,8,3,8,5,0.714285714286
28,7,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,8,1,8,7,1
28,7,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,8,1,8,7,1
28,7,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,8,1,8,7,1
28,7,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,8,1,8,7,1
28,7,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,8,1,8,7,1
28,8,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,7,1,7,6,1
28,8,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,7,1,7,6,1
28,8,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,7,1,7,6,1
28,8,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,7,1,7,6,1
28,8,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,7,1,7,6,1
28,8,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,7,1,7,6,1
28,8,R_plus,average_rank,c_ec2dfdbef29a,Kate Flannery,7,2,7,5,0.833333333333
28,9,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,6,1,6,5,1
28,9,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,6,1,6,5,1
28,9,R_plus,average_rank,c_97f8d8bcc4a3,Sean Spicer,6,1,6,5,1
28,9,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,6,1,6,5,1
28,9,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,6,1,6,5,1
28,9,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,6,1,6,5,1
28,10,R_plus,average_rank,c_200c4ff12963,James Van Der Beek,5,1,5,4,1
28,10,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,5,1,5,4,1
28,10,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,5,1,5,4,1
28,10,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,5,1,5,4,1
28,10,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,5,1,5,4,1
28,11,R_plus,average_rank,c_60ec454a8400,Lauren Alaina,4,1,4,3,1
28,11,R_plus,average_rank,c_ad0ab76e15e2,Ally Brooke,4,3,4,1,0.333333333333
28,11,R_plus,average_rank,c_d78aaf5fec0f,Hannah Brown,4,1,2,1,0.333333333333
28,11,R_plus,average_rank,c_dbf097fbad67,Kel Mitchell,4,2,3,1,0.333333333333
29,1,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,15,1,15,14,1
29,1,R_plus,average_rank,c_11dab416256e,Johnny Weir,15,1,15,14,1
29,1,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,15,1,15,14,1
29,1,R_plus,average_rank,c_3f32d6efef34,AJ McLean,15,1,15,14,1
29,1,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,15,1,15,14,1
29,1,R_plus,average_rank,c_573652556221,Nelly,15,1,15,14,1
29,1,R_plus,average_rank,c_65d6cab6dadb,Carole Baskin,15,1,15,14,1
29,1,R_plus,average_rank,c_74452ad09396,Anne Heche,15,1,15,14,1
29,1,R_plus,average_rank,c_753fc2e06368,Skai Jackson,15,1,15,14,1
29,1,R_plus,average_rank,c_7a0bc074d7ee,Charles Oakley,15,1,15,14,1
29,1,R_plus,average_rank,c_7c2348559a18,Veron Davis,15,1,15,14,1
29,1,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,15,1,15,14,1
29,1,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,15,1,15,14,1
29,1,R_plus,average_rank,c_8cbaf01f9030,Jesse Metcalfe,15,1,15,14,1
29,1,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,15,1,15,14,1
29,2,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,15,1,15,14,1
29,2,R_plus,average_rank,c_11dab416256e,Johnny Weir,15,1,15,14,1
29,2,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,15,1,15,14,1
29,2,R_plus,average_rank,c_3f32d6efef34,AJ McLean,15,1,15,14,1
29,2,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,15,1,15,14,1
29,2,R_plus,average_rank,c_573652556221,Nelly,15,1,15,14,1
29,2,R_plus,average_rank,c_65d6cab6dadb,Carole Baskin,15,1,15,14,1
29,2,R_plus,average_rank,c_74452ad09396,Anne Heche,15,1,15,14,1
29,2,R_plus,average_rank,c_753fc2e06368,Skai Jackson,15,1,15,14,1
29,2,R_plus,average_rank,c_7a0bc074d7ee,Charles Oakley,15,3,15,12,0.857142857143
29,2,R_plus,average_rank,c_7c2348559a18,Veron Davis,15,1,15,14,1
29,2,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,15,1,15,14,1
29,2,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,15,1,15,14,1
29,2,R_plus,average_rank,c_8cbaf01f9030,Jesse Metcalfe,15,1,15,14,1
29,2,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,15,1,15,14,1
29,3,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,14,1,14,13,1
29,3,R_plus,average_rank,c_11dab416256e,Johnny Weir,14,1,14,13,1
29,3,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,14,1,14,13,1
29,3,R_plus,average_rank,c_3f32d6efef34,AJ McLean,14,1,14,13,1
29,3,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,14,1,14,13,1
29,3,R_plus,average_rank,c_573652556221,Nelly,14,1,14,13,1
29,3,R_plus,average_rank,c_65d6cab6dadb,Carole Baskin,14,1,14,13,1
29,3,R_plus,average_rank,c_74452ad09396,Anne Heche,14,1,14,13,1
29,3,R_plus,average_rank,c_753fc2e06368,Skai Jackson,14,1,14,13,1
29,3,R_plus,average_rank,c_7c2348559a18,Veron Davis,14,1,14,13,1
29,3,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,14,1,14,13,1
29,3,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,14,1,14,13,1
29,3,R_plus,average_rank,c_8cbaf01f9030,Jesse Metcalfe,14,1,14,13,1
29,3,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,14,1,14,13,1
29,4,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,13,1,13,12,1
29,4,R_plus,average_rank,c_11dab416256e,Johnny Weir,13,1,13,12,1
29,4,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,13,1,13,12,1
29,4,R_plus,average_rank,c_3f32d6efef34,AJ McLean,13,1,13,12,1
29,4,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,13,1,13,12,1
29,4,R_plus,average_rank,c_573652556221,Nelly,13,1,13,12,1
29,4,R_plus,average_rank,c_74452ad09396,Anne Heche,13,4,13,9,0.75
29,4,R_plus,average_rank,c_753fc2e06368,Skai Jackson,13,1,13,12,1
29,4,R_plus,average_rank,c_7c2348559a18,Veron Davis,13,1,13,12,1
29,4,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,13,1,13,12,1
29,4,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,13,1,13,12,1
29,4,R_plus,average_rank,c_8cbaf01f9030,Jesse Metcalfe,13,1,13,12,1
29,4,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,13,1,13,12,1
29,5,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,12,1,12,11,1
29,5,R_plus,average_rank,c_11dab416256e,Johnny Weir,12,1,12,11,1
29,5,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,12,1,12,11,1
29,5,R_plus,average_rank,c_3f32d6efef34,AJ McLean,12,1,12,11,1
29,5,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,12,1,12,11,1
29,5,R_plus,average_rank,c_573652556221,Nelly,12,1,12,11,1
29,5,R_plus,average_rank,c_753fc2e06368,Skai Jackson,12,1,12,11,1
29,5,R_plus,average_rank,c_7c2348559a18,Veron Davis,12,1,12,11,1
29,5,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,12,1,12,11,1
29,5,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,12,1,12,11,1
29,5,R_plus,average_rank,c_8cbaf01f9030,Jesse Metcalfe,12,3,12,9,0.818181818182
29,5,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,12,1,12,11,1
29,6,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,11,1,11,10,1
29,6,R_plus,average_rank,c_11dab416256e,Johnny Weir,11,1,11,10,1
29,6,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,11,1,11,10,1
29,6,R_plus,average_rank,c_3f32d6efef34,AJ McLean,11,1,11,10,1
29,6,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,11,1,11,10,1
29,6,R_plus,average_rank,c_573652556221,Nelly,11,1,11,10,1
29,6,R_plus,average_rank,c_753fc2e06368,Skai Jackson,11,1,11,10,1
29,6,R_plus,average_rank,c_7c2348559a18,Veron Davis,11,3,11,8,0.8
29,6,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,11,1,11,10,1
29,6,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,11,1,11,10,1
29,6,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,11,1,11,10,1
29,7,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,10,1,10,9,1
29,7,R_plus,average_rank,c_11dab416256e,Johnny Weir,10,1,10,9,1
29,7,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,10,1,10,9,1
29,7,R_plus,average_rank,c_3f32d6efef34,AJ McLean,10,1,10,9,1
29,7,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,10,1,10,9,1
29,7,R_plus,average_rank,c_573652556221,Nelly,10,1,10,9,1
29,7,R_plus,average_rank,c_753fc2e06368,Skai Jackson,10,1,10,9,1
29,7,R_plus,average_rank,c_823f9ca9ea5e,Monica Aldama,10,1,10,9,1
29,7,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,10,1,10,9,1
29,7,R_plus,average_rank,c_ace5e5d137ce,Jeannie Mai,10,1,10,9,1
29,8,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,8,1,8,7,1
29,8,R_plus,average_rank,c_11dab416256e,Johnny Weir,8,1,8,7,1
29,8,R_plus,average_rank,c_249fee0c5f0e,Chrishell Stause,8,3,8,5,0.714285714286
29,8,R_plus,average_rank,c_3f32d6efef34,AJ McLean,8,1,8,7,1
29,8,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,8,1,8,7,1
29,8,R_plus,average_rank,c_573652556221,Nelly,8,1,8,7,1
29,8,R_plus,average_rank,c_753fc2e06368,Skai Jackson,8,1,8,7,1
29,8,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,8,1,8,7,1
29,9,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,7,1,7,6,1
29,9,R_plus,average_rank,c_11dab416256e,Johnny Weir,7,1,7,6,1
29,9,R_plus,average_rank,c_3f32d6efef34,AJ McLean,7,2,7,5,0.833333333333
29,9,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,7,1,7,6,1
29,9,R_plus,average_rank,c_573652556221,Nelly,7,1,7,6,1
29,9,R_plus,average_rank,c_753fc2e06368,Skai Jackson,7,1,7,6,1
29,9,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,7,1,7,6,1
29,10,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,6,1,6,5,1
29,10,R_plus,average_rank,c_11dab416256e,Johnny Weir,6,1,6,5,1
29,10,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,6,1,6,5,1
29,10,R_plus,average_rank,c_573652556221,Nelly,6,1,6,5,1
29,10,R_plus,average_rank,c_753fc2e06368,Skai Jackson,6,1,6,5,1
29,10,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,6,1,6,5,1
29,11,R_plus,average_rank,c_070a9cf4335b,Nev Schulman,4,3,3,0,0
29,11,R_plus,average_rank,c_4a8d25406f8b,Kaitlyn Bristowe,4,1,2,1,0.333333333333
29,11,R_plus,average_rank,c_573652556221,Nelly,4,1,2,1,0.333333333333
29,11,R_plus,average_rank,c_8bc88f2bc529,Justina Machado,4,4,4,0,0
30,1,R_plus,average_rank,c_04ef229c7ff0,Kenya Moore,15,1,15,14,1
30,1,R_plus,average_rank,c_1c05f6d66a3f,Matt James,15,1,15,14,1
30,1,R_plus,average_rank,c_71da7b768d6d,Jimmie Allen,15,1,15,14,1
30,1,R_plus,average_rank,c_7dbe643a5b94,Melanie C,15,1,15,14,1
30,1,R_plus,average_rank,c_84deafeeb974,Amanda Kloots,15,1,15,14,1
30,1,R_plus,average_rank,c_8b3d0c71d246,Suni Lee,15,1,15,14,1
30,1,R_plus,average_rank,c_9b015ed7e42e,Cody Rigsby,15,1,15,14,1
30,1,R_plus,average_rank,c_a71bf11ea29e,Olivia Jade,15,1,15,14,1
30,1,R_plus,average_rank,c_a72a230eaba2,Melora Hardin,15,1,15,14,1
30,1,R_plus,average_rank,c_b002034162db,Christine Chiu,15,1,15,14,1
30,1,R_plus,average_rank,c_dceaa5c7f8dd,Iman Shumpert,15,1,15,14,1
30,1,R_plus,average_rank,c_def7afb85d8e,JoJo Siwa,15,1,15,14,1
30,1,R_plus,average_rank,c_dff70a5b7575,Martin Kove,15,1,15,14,1
30,1,R_plus,average_rank,c_dffffa72652e,Brian Austin Green,15,1,15,14,1
30,1,R_plus,average_rank,c_f1e90bd6e09a,"Mike ""The Miz"" Mizanin",15,1,15,14,1
30,2,R_plus,average_rank,c_04ef229c7ff0,Kenya Moore,15,1,15,14,1
30,2,R_plus,average_rank,c_1c05f6d66a3f,Matt James,15,1,15,14,1
30,2,R_plus,average_rank,c_71da7b768d6d,Jimmie Allen,15,1,15,14,1
30,2,R_plus,average_rank,c_7dbe643a5b94,Melanie C,15,1,15,14,1
30,2,R_plus,average_rank,c_84deafeeb974,Amanda Kloots,15,1,15,14,1
30,2,R_plus,average_rank,c_8b3d0c71d246,Suni Lee,15,1,15,14,1
30,2,R_plus,average_rank,c_9b015ed7e42e,Cody Rigsby,15,1,15,14,1
30,2,R_plus,average_rank,c_a71bf11ea29e,Olivia Jade,15,1,15,14,1
30,2,R_plus,average_rank,c_a72a230eaba2,Melora Hardin,15,1,15,14,1
30,2,R_plus,average_rank,c_b002034162db,Christine Chiu,15,1,15,14,1
30,2,R_plus,average_rank,c_dceaa5c7f8dd,Iman Shumpert,15,1,15,14,1
30,2,R_plus,average_rank,c_def7afb85d8e,JoJo Siwa,15,1,15,14,1
30,2,R_plus,average_rank,c_dff70a5b7575,Martin Kove,15,1,15,14,1
30,2,R_plus,average_rank,c_dffffa72652e,Brian Austin Green,15,1,15,14,1
30,2,R_plus,average_rank,c_f1e90bd6e09a,"Mike ""The Miz"" Mizanin",15,1,15,14,1
30,3,R_plus,average_rank,c_04ef229c7ff0,Kenya Moore,14,1,14,13,1
30,3,R_plus,average_rank,c_1c05f6d66a3f,Matt James,14,1,14,13,1
30,3,R_plus,average_rank,c_71da7b768d6d,Jimmie Allen,14,1,14,13,1
30,3,R_plus,average_rank,c_7dbe643a5b94,Melanie C,14,1,14,13,1
